Year,Sanctuary,Status,Site,Observer,Replicate,Sampling.location,Depth,Gps,Way.point,D,Time,Complexity,Algal.cover,Sample,Latitude,Longitude,Successful.count,Successful.length,Date,Location
2014,Armstrong Bay,No-take,Little Armstrong,none,1,none,1,black,69,12/30/1899,12:36:00,0,3,1,-31.990553,115.505975,Yes,Yes,20140126,
2014,Armstrong Bay,No-take,Little Armstrong,none,2,none,1,black,70,12/30/1899,12:44:00,2,3,2,-31.990553,115.505975,Yes,Yes,20140126,
2014,Armstrong Bay,No-take,Little Armstrong,none,3,none,1,black,71,12/30/1899,12:46:00,4,3,3,-31.990553,115.505975,Yes,Yes,20140126,
2014,Armstrong Bay,No-take,Little Armstrong,none,4,none,1,black,72,12/30/1899,12:49:00,1,3,4,-31.990553,115.505975,Yes,Yes,20140126,
2014,Armstrong Bay,No-take,Little Armstrong,none,5,none,1,black,73,12/30/1899,12:52:00,4,2,5,-31.990553,115.505975,Yes,Yes,20140126,
2014,Armstrong Bay,No-take,Little Armstrong,none,6,none,1,black,74,12/30/1899,12:53:00,2,2,6,-31.990553,115.505975,Yes,Yes,20140126,
2014,Armstrong Bay,No-take,Little Armstrong,none,7,none,1,black,75,12/30/1899,12:57:00,2,2,7,-31.990553,115.505975,Yes,Yes,20140126,
2014,Armstrong Bay,No-take,Little Armstrong,none,8,none,1,black,76,12/30/1899,13:00:00,2,2,8,-31.990553,115.505975,Yes,Yes,20140126,
2014,Armstrong Bay,No-take,Little Armstrong,none,9,none,1,black,77,12/30/1899,13:01:00,2,2,9,-31.990553,115.505975,Yes,Yes,20140126,
2014,Armstrong Bay,No-take,Little Armstrong,none,10,none,1,black,78,12/30/1899,13:04:00,1,2,10,-31.990553,115.505975,Yes,Yes,20140126,
2014,Armstrong Bay,No-take,Little Armstrong,none,11,none,1,jane1,97,12/30/1899,12:35:00,3,2,11,-31.990553,115.505975,Yes,Yes,20140126,
2014,Armstrong Bay,No-take,Little Armstrong,none,12,none,1,jane1,98,12/30/1899,12:41:00,1,3,12,-31.990553,115.505975,Yes,Yes,20140126,
2014,Armstrong Bay,No-take,Little Armstrong,none,13,none,1,jane1,99,12/30/1899,12:41:00,1,3,13,-31.990553,115.505975,Yes,Yes,20140126,
2014,Armstrong Bay,No-take,Little Armstrong,none,14,none,1,jane1,100,12/30/1899,12:47:00,2,3,14,-31.990553,115.505975,Yes,Yes,20140126,
2014,Armstrong Bay,No-take,Little Armstrong,none,15,none,1,jane1,101,12/30/1899,12:51:00,1,3,15,-31.990553,115.505975,Yes,Yes,20140126,
2014,Armstrong Bay,No-take,Little Armstrong,none,16,none,1,jane1,105,12/30/1899,12:53:00,3,3,16,-31.990553,115.505975,Yes,Yes,20140126,
2014,Armstrong Bay,No-take,Little Armstrong,none,17,none,1,jane1,106,12/30/1899,12:56:00,1,3,17,-31.990553,115.505975,Yes,Yes,20140126,
2014,Armstrong Bay,No-take,Little Armstrong,none,18,none,1,jane1,107,12/30/1899,13:00:00,2,2,18,-31.990553,115.505975,Yes,Yes,20140126,
2014,Armstrong Bay,No-take,Little Armstrong,none,19,none,1,ncb1,71,12/30/1899,12:35:00,2,2,19,-31.990553,115.505975,Yes,Yes,20140126,
2014,Armstrong Bay,No-take,Little Armstrong,none,20,none,1,ncb1,72,12/30/1899,12:37:00,0,2,20,-31.990553,115.505975,Yes,Yes,20140126,
