Sample,Count,Length,Legal.sublegal,Family,Genus,Species
827,4,65,Sublegal,Palinuridae,Panulirus,cygnus
828,1,65,Sublegal,Palinuridae,Panulirus,cygnus
829,7,65,Sublegal,Palinuridae,Panulirus,cygnus
830,1,65,Sublegal,Palinuridae,Panulirus,cygnus
833,2,65,Sublegal,Palinuridae,Panulirus,cygnus
835,3,65,Sublegal,Palinuridae,Panulirus,cygnus
840,2,65,Sublegal,Palinuridae,Panulirus,cygnus
852,1,65,Sublegal,Palinuridae,Panulirus,cygnus
862,1,65,Sublegal,Palinuridae,Panulirus,cygnus
867,2,65,Sublegal,Palinuridae,Panulirus,cygnus
870,6,65,Sublegal,Palinuridae,Panulirus,cygnus
877,1,65,Sublegal,Palinuridae,Panulirus,cygnus
893,1,65,Sublegal,Palinuridae,Panulirus,cygnus
907,1,65,Sublegal,Palinuridae,Panulirus,cygnus
914,1,65,Sublegal,Palinuridae,Panulirus,cygnus
919,3,65,Sublegal,Palinuridae,Panulirus,cygnus
922,2,65,Sublegal,Palinuridae,Panulirus,cygnus
925,1,65,Sublegal,Palinuridae,Panulirus,cygnus
927,2,65,Sublegal,Palinuridae,Panulirus,cygnus
928,5,65,Sublegal,Palinuridae,Panulirus,cygnus
929,1,65,Sublegal,Palinuridae,Panulirus,cygnus
938,4,65,Sublegal,Palinuridae,Panulirus,cygnus
944,1,65,Sublegal,Palinuridae,Panulirus,cygnus
953,2,65,Sublegal,Palinuridae,Panulirus,cygnus
963,1,65,Sublegal,Palinuridae,Panulirus,cygnus
965,1,65,Sublegal,Palinuridae,Panulirus,cygnus
977,1,65,Sublegal,Palinuridae,Panulirus,cygnus
983,1,65,Sublegal,Palinuridae,Panulirus,cygnus
1000,10,65,Sublegal,Palinuridae,Panulirus,cygnus
1011,1,65,Sublegal,Palinuridae,Panulirus,cygnus
1012,1,65,Sublegal,Palinuridae,Panulirus,cygnus
1013,1,65,Sublegal,Palinuridae,Panulirus,cygnus
1018,1,65,Sublegal,Palinuridae,Panulirus,cygnus
1020,4,65,Sublegal,Palinuridae,Panulirus,cygnus
1024,1,65,Sublegal,Palinuridae,Panulirus,cygnus
1037,1,65,Sublegal,Palinuridae,Panulirus,cygnus
