Year,Sanctuary,Status,Site,Observer,Replicate,Sampling.location,Depth,Time,Complexity,Algal.cover,Sample,Latitude,Longitude,Successful.count,Successful.length,Date,Location
2016,Parker Point,No-take,Little Salmon,1,1,none,2,12:00:00,3,2,816,-32.025352,115.52435,Yes,Yes,20160101,
2016,Parker Point,No-take,Little Salmon,1,2,none,1.5,12:00:00,0,2,817,-32.025352,115.52435,Yes,Yes,20160101,
2016,Parker Point,No-take,Little Salmon,1,3,none,2,12:00:00,3,2,818,-32.025352,115.52435,Yes,Yes,20160101,
2016,Parker Point,No-take,Little Salmon,1,4,none,2,12:00:00,2,2,819,-32.025352,115.52435,Yes,Yes,20160101,
2016,Parker Point,No-take,Little Salmon,1,5,none,2,12:00:00,2,2,820,-32.025352,115.52435,Yes,Yes,20160101,
2016,Parker Point,No-take,Little Salmon,1,6,none,2.5,12:00:00,2,2,821,-32.025352,115.52435,Yes,Yes,20160101,
2016,Parker Point,No-take,Little Salmon,1,7,none,2,12:00:00,3,2,822,-32.025352,115.52435,Yes,Yes,20160101,
2016,Parker Point,No-take,Little Salmon,1,8,none,3,12:00:00,2,2,823,-32.025352,115.52435,Yes,Yes,20160101,
2016,Parker Point,No-take,Little Salmon,1,9,none,3,12:00:00,3,2,824,-32.025352,115.52435,Yes,Yes,20160101,
2016,Parker Point,No-take,Little Salmon,1,10,none,3,12:00:00,4,2,825,-32.025352,115.52435,Yes,Yes,20160101,
2016,Parker Point,No-take,Little Salmon,2,1,none,2,12:00:00,3,1,826,-32.025352,115.52435,Yes,Yes,20160101,
2016,Parker Point,No-take,Little Salmon,2,2,none,2,12:00:00,3,1,827,-32.025352,115.52435,Yes,Yes,20160101,
2016,Parker Point,No-take,Little Salmon,2,3,none,1,12:00:00,2,1,828,-32.025352,115.52435,Yes,Yes,20160101,
2016,Parker Point,No-take,Little Salmon,2,4,none,1.5,12:00:00,2,2,829,-32.025352,115.52435,Yes,Yes,20160101,
2016,Parker Point,No-take,Little Salmon,2,5,none,2,12:00:00,4,2,830,-32.025352,115.52435,Yes,Yes,20160101,
2016,Parker Point,No-take,Little Salmon,2,6,none,1.7,12:00:00,1,1,831,-32.025352,115.52435,Yes,Yes,20160101,
2016,Parker Point,No-take,Little Salmon,2,7,none,3,12:00:00,4,2,832,-32.025352,115.52435,Yes,Yes,20160101,
