Sample,Legal.sublegal,Count,Family,Genus,Species
1867,Legal,1,Palinuridae,Panulirus,cygnus
1874,Legal,1,Palinuridae,Panulirus,cygnus
1874,Sublegal,3,Palinuridae,Panulirus,cygnus
1880,Unsized,1,Palinuridae,Panulirus,cygnus
1882,Unsized,1,Palinuridae,Panulirus,cygnus
1885,Sublegal,2,Palinuridae,Panulirus,cygnus
1888,Legal,1,Palinuridae,Panulirus,cygnus
1892,Sublegal,1,Palinuridae,Panulirus,cygnus
1895,Sublegal,4,Palinuridae,Panulirus,cygnus
1896,Legal,1,Palinuridae,Panulirus,cygnus
1896,Sublegal,1,Palinuridae,Panulirus,cygnus
1900,Legal,1,Palinuridae,Panulirus,cygnus
1900,Sublegal,3,Palinuridae,Panulirus,cygnus
1905,Sublegal,1,Palinuridae,Panulirus,cygnus
1906,Legal,3,Palinuridae,Panulirus,cygnus
1906,Sublegal,2,Palinuridae,Panulirus,cygnus
1907,Legal,2,Palinuridae,Panulirus,cygnus
1908,Legal,1,Palinuridae,Panulirus,cygnus
1908,Sublegal,1,Palinuridae,Panulirus,cygnus
1909,Legal,1,Palinuridae,Panulirus,cygnus
1911,Legal,1,Palinuridae,Panulirus,cygnus
1913,Legal,2,Palinuridae,Panulirus,cygnus
1913,Sublegal,1,Palinuridae,Panulirus,cygnus
1916,Sublegal,1,Palinuridae,Panulirus,cygnus
1916,Unsized,1,Palinuridae,Panulirus,cygnus
1922,Legal,2,Palinuridae,Panulirus,cygnus
1922,Sublegal,6,Palinuridae,Panulirus,cygnus
1923,Legal,2,Palinuridae,Panulirus,cygnus
1923,Sublegal,4,Palinuridae,Panulirus,cygnus
1925,Sublegal,6,Palinuridae,Panulirus,cygnus
1926,Sublegal,1,Palinuridae,Panulirus,cygnus
1930,Sublegal,2,Palinuridae,Panulirus,cygnus
1934,Sublegal,4,Palinuridae,Panulirus,cygnus
1935,Sublegal,2,Palinuridae,Panulirus,cygnus
1940,Sublegal,1,Palinuridae,Panulirus,cygnus
1944,Legal,1,Palinuridae,Panulirus,cygnus
1944,Sublegal,2,Palinuridae,Panulirus,cygnus
1945,Legal,1,Palinuridae,Panulirus,cygnus
1945,Sublegal,1,Palinuridae,Panulirus,cygnus
1950,Legal,2,Palinuridae,Panulirus,cygnus
1950,Sublegal,3,Palinuridae,Panulirus,cygnus
1951,Legal,1,Palinuridae,Panulirus,cygnus
1951,Sublegal,1,Palinuridae,Panulirus,cygnus
1953,Legal,1,Palinuridae,Panulirus,cygnus
1953,Sublegal,6,Palinuridae,Panulirus,cygnus
1954,Legal,1,Palinuridae,Panulirus,cygnus
1954,Sublegal,1,Palinuridae,Panulirus,cygnus
1956,Legal,1,Palinuridae,Panulirus,cygnus
1958,Legal,1,Palinuridae,Panulirus,cygnus
1958,Sublegal,1,Palinuridae,Panulirus,cygnus
1960,Sublegal,1,Palinuridae,Panulirus,cygnus
1962,Sublegal,1,Palinuridae,Panulirus,cygnus
1963,Legal,1,Palinuridae,Panulirus,cygnus
1963,Sublegal,2,Palinuridae,Panulirus,cygnus
1966,Legal,1,Palinuridae,Panulirus,cygnus
1966,Sublegal,2,Palinuridae,Panulirus,cygnus
1969,Sublegal,1,Palinuridae,Panulirus,cygnus
1974,Legal,1,Palinuridae,Panulirus,cygnus
1974,Sublegal,7,Palinuridae,Panulirus,cygnus
1976,Sublegal,2,Palinuridae,Panulirus,cygnus
1977,Sublegal,2,Palinuridae,Panulirus,cygnus
1979,Sublegal,2,Palinuridae,Panulirus,cygnus
1984,Sublegal,6,Palinuridae,Panulirus,cygnus
1986,Sublegal,5,Palinuridae,Panulirus,cygnus
1991,Legal,1,Palinuridae,Panulirus,cygnus
1991,Sublegal,1,Palinuridae,Panulirus,cygnus
1992,Sublegal,2,Palinuridae,Panulirus,cygnus
