Year,Sanctuary,Status,Site,Observer,Replicate,Depth,Time,Complexity,Algal.cover,Sample,Latitude,Longitude,Successful.count,Successful.length,Date,Location
2018,Green Island,No-take,Mary Cove,AHBMMMDL,1,1,12:00:00,3,3,1866,-32.01857,115.491195,Yes,Yes,20180120,
2018,Green Island,No-take,Mary Cove,AHBMMMDL,2,1,12:00:00,4,3,1867,-32.01857,115.491195,Yes,Yes,20180120,
2018,Green Island,No-take,Mary Cove,AHBMMMDL,3,1,12:00:00,4,2,1868,-32.01857,115.491195,Yes,Yes,20180120,
2018,Green Island,No-take,Mary Cove,AHBMMMDL,4,1,12:00:00,2,2,1869,-32.01857,115.491195,Yes,Yes,20180120,
2018,Green Island,No-take,Mary Cove,AHBMMMDL,5,1,12:00:00,1,3,1870,-32.01857,115.491195,Yes,Yes,20180120,
2018,Green Island,No-take,Mary Cove,AHBMMMDL,6,1,12:00:00,2,3,1871,-32.01857,115.491195,Yes,Yes,20180120,
2018,Green Island,No-take,Mary Cove,AHBMMMDL,7,1,12:00:00,1,3,1872,-32.01857,115.491195,Yes,Yes,20180120,
2018,Green Island,No-take,Mary Cove,AHBMMMDL,8,1,12:00:00,3,1,1873,-32.01857,115.491195,Yes,Yes,20180120,
2018,Green Island,No-take,Mary Cove,AHBMMMDL,9,1,12:00:00,4,3,1874,-32.01857,115.491195,Yes,Yes,20180120,
2018,Green Island,No-take,Mary Cove,AHBMMMDL,10,1,12:00:00,2,1,1875,-32.01857,115.491195,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,CCHSCLSS,1,1,12:00:00,0,2,1876,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,CCHSCLSS,2,1,12:00:00,1,1,1877,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,CCHSCLSS,3,1,12:00:00,1,2,1878,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,CCHSCLSS,4,1,12:00:00,2,1,1879,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,CCHSCLSS,5,1,12:00:00,1,1,1880,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,CCHSCLSS,6,1,12:00:00,2,2,1881,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,CCHSCLSS,7,1,12:00:00,2,1,1882,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,CCHSCLSS,8,1,12:00:00,4,1,1883,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,CCHSCLSS,9,1,12:00:00,3,3,1884,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,MMAHBMDL,1,1,12:00:00,4,1,1885,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,MMAHBMDL,2,1,12:00:00,2,1,1886,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,MMAHBMDL,3,1,12:00:00,4,3,1887,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,MMAHBMDL,4,1,12:00:00,4,1,1888,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,MMAHBMDL,5,1,12:00:00,4,3,1889,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,MMAHBMDL,6,1,12:00:00,1,1,1890,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,MMAHBMDL,7,1,12:00:00,4,1,1891,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,MMAHBMDL,8,1,12:00:00,4,3,1892,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,MMAHBMDL,9,1,12:00:00,4,3,1893,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,TWSHAJ,1,1,12:00:00,3,3,1894,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,TWSHAJ,2,1,12:00:00,4,3,1895,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,TWSHAJ,3,1,12:00:00,4,3,1896,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,TWSHAJ,4,1,12:00:00,3,3,1897,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,TWSHAJ,5,1,12:00:00,2,3,1898,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,TWSHAJ,6,1,12:00:00,2,2,1899,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,TWSHAJ,7,1,12:00:00,4,1,1900,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,TWSHAJ,8,1,12:00:00,2,3,1901,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,TWSHAJ,9,1,12:00:00,2,1,1902,-31.994655,115.495719,Yes,Yes,20180120,
2018,Armstrong Bay,Fished,City of York,TWSHAJ,10,1,12:00:00,2,1,1903,-31.994655,115.495719,Yes,Yes,20180120,
2018,Green Island,No-take,Mary Cove,TWSHAJ,1,1,12:00:00,2,1,1904,-32.01857,115.491195,Yes,Yes,20180120,
2018,Green Island,No-take,Mary Cove,TWSHAJ,2,1,12:00:00,3,1,1905,-32.01857,115.491195,Yes,Yes,20180120,
2018,Green Island,No-take,Mary Cove,TWSHAJ,3,1,12:00:00,4,3,1906,-32.01857,115.491195,Yes,Yes,20180120,
