Sample,Legal.sublegal,Count,Family,Genus,Species
101,Sublegal,4,Palinuridae,Panulirus,cygnus
102,Sublegal,1,Palinuridae,Panulirus,cygnus
103,Sublegal,2,Palinuridae,Panulirus,cygnus
105,Sublegal,1,Palinuridae,Panulirus,cygnus
106,Sublegal,2,Palinuridae,Panulirus,cygnus
107,Sublegal,2,Palinuridae,Panulirus,cygnus
109,Sublegal,2,Palinuridae,Panulirus,cygnus
11,Sublegal,17,Palinuridae,Panulirus,cygnus
112,Sublegal,2,Palinuridae,Panulirus,cygnus
114,Sublegal,1,Palinuridae,Panulirus,cygnus
115,Sublegal,3,Palinuridae,Panulirus,cygnus
117,Sublegal,1,Palinuridae,Panulirus,cygnus
119,Legal,2,Palinuridae,Panulirus,cygnus
119,Sublegal,7,Palinuridae,Panulirus,cygnus
120,Sublegal,2,Palinuridae,Panulirus,cygnus
121,Legal,2,Palinuridae,Panulirus,cygnus
121,Sublegal,4,Palinuridae,Panulirus,cygnus
122,Sublegal,3,Palinuridae,Panulirus,cygnus
124,Sublegal,1,Palinuridae,Panulirus,cygnus
125,Sublegal,1,Palinuridae,Panulirus,cygnus
126,Sublegal,1,Palinuridae,Panulirus,cygnus
127,Legal,1,Palinuridae,Panulirus,cygnus
127,Sublegal,2,Palinuridae,Panulirus,cygnus
128,Sublegal,1,Palinuridae,Panulirus,cygnus
129,Legal,2,Palinuridae,Panulirus,cygnus
129,Sublegal,7,Palinuridae,Panulirus,cygnus
13,Legal,1,Palinuridae,Panulirus,cygnus
13,Sublegal,2,Palinuridae,Panulirus,cygnus
130,Sublegal,2,Palinuridae,Panulirus,cygnus
131,Legal,2,Palinuridae,Panulirus,cygnus
131,Sublegal,4,Palinuridae,Panulirus,cygnus
132,Sublegal,3,Palinuridae,Panulirus,cygnus
134,Sublegal,1,Palinuridae,Panulirus,cygnus
135,Sublegal,1,Palinuridae,Panulirus,cygnus
136,Sublegal,1,Palinuridae,Panulirus,cygnus
137,Legal,1,Palinuridae,Panulirus,cygnus
137,Sublegal,2,Palinuridae,Panulirus,cygnus
138,Sublegal,1,Palinuridae,Panulirus,cygnus
139,Legal,2,Palinuridae,Panulirus,cygnus
139,Sublegal,3,Palinuridae,Panulirus,cygnus
14,Sublegal,1,Palinuridae,Panulirus,cygnus
140,Sublegal,1,Palinuridae,Panulirus,cygnus
141,Legal,3,Palinuridae,Panulirus,cygnus
141,Sublegal,1,Palinuridae,Panulirus,cygnus
144,Sublegal,1,Palinuridae,Panulirus,cygnus
147,Legal,3,Palinuridae,Panulirus,cygnus
147,Sublegal,8,Palinuridae,Panulirus,cygnus
150,Legal,2,Palinuridae,Panulirus,cygnus
150,Sublegal,5,Palinuridae,Panulirus,cygnus
155,Sublegal,8,Palinuridae,Panulirus,cygnus
156,Sublegal,3,Palinuridae,Panulirus,cygnus
157,Sublegal,1,Palinuridae,Panulirus,cygnus
158,Legal,2,Palinuridae,Panulirus,cygnus
158,Sublegal,6,Palinuridae,Panulirus,cygnus
16,Sublegal,1,Palinuridae,Panulirus,cygnus
160,Sublegal,1,Palinuridae,Panulirus,cygnus
161,Legal,1,Palinuridae,Panulirus,cygnus
162,Sublegal,8,Palinuridae,Panulirus,cygnus
163,Sublegal,3,Palinuridae,Panulirus,cygnus
164,Sublegal,1,Palinuridae,Panulirus,cygnus
165,Legal,2,Palinuridae,Panulirus,cygnus
165,Sublegal,6,Palinuridae,Panulirus,cygnus
