Year,Sanctuary,Status,Site,Observer,Replicate,Sampling.location,Depth,Time,Complexity,Algal.cover,Sample,Latitude,Longitude,Successful.count,Successful.length,Date,Location
2017,Armstrong Bay,No-take,Little Armstrong,1,1,Outer central,1,12:00:00,2,2,1266,-31.990553,115.505975,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Little Armstrong,1,2,Outer central,1,12:00:00,2,2,1267,-31.990553,115.505975,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Little Armstrong,1,3,Outer central,1,12:00:00,1,2,1268,-31.990553,115.505975,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Little Armstrong,1,4,Outer central,1,12:00:00,4,2,1269,-31.990553,115.505975,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Little Armstrong,1,5,Outer central,1,12:00:00,3,2,1270,-31.990553,115.505975,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Little Armstrong,1,6,Outer central,1,12:00:00,3,2,1271,-31.990553,115.505975,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Little Armstrong,1,7,Outer central,1,12:00:00,4,3,1272,-31.990553,115.505975,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Little Armstrong,1,8,Outer central,1,12:00:00,3,2,1273,-31.990553,115.505975,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Little Armstrong,1,9,Outer central,1,12:00:00,4,2,1274,-31.990553,115.505975,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Little Armstrong,1,10,Outer central,1,12:00:00,3,2,1275,-31.990553,115.505975,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Little Armstrong,2,1,North Western inner,1,12:00:00,2,3,1276,-31.990553,115.505975,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Little Armstrong,2,2,North Western inner,1,12:00:00,1,3,1277,-31.990553,115.505975,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Little Armstrong,2,3,North Western inner,1,12:00:00,3,3,1278,-31.990553,115.505975,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Little Armstrong,2,4,North Western inner,1,12:00:00,4,3,1279,-31.990553,115.505975,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Little Armstrong,2,5,North Western inner,1,12:00:00,1,3,1280,-31.990553,115.505975,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Little Armstrong,2,6,North Western inner,1,12:00:00,1,3,1281,-31.990553,115.505975,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Little Armstrong,2,7,North Western inner,1,12:00:00,3,3,1282,-31.990553,115.505975,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Little Armstrong,2,8,North Western inner,1,12:00:00,2,3,1283,-31.990553,115.505975,Yes,Yes,20170122,
