Year,Sanctuary,Status,Site,Observer,Replicate,Depth,Time,Complexity,Algal.cover,Sample,Latitude,Longitude,Successful.count,Successful.length,Date,Location
2019,Parker Point,No-take,Salmon Bay,JAT,1,1,12:00:00,2,2,2344,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,JAT,2,1,12:00:00,2,2,2345,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,JAT,3,1,12:00:00,3,2,2346,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,JAT,4,1,12:00:00,2,2,2347,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,JAT,5,1,12:00:00,2,2,2348,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,JAT,6,1,12:00:00,2,1,2349,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,JAT,7,1,12:00:00,3,1,2350,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,JAT,8,1,12:00:00,0,2,2351,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,JAT,9,1,12:00:00,2,2,2352,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,JAT,10,1,12:00:00,3,1,2353,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,EP,1,1,12:00:00,3,2,2354,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,EP,2,1,12:00:00,2,3,2355,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,EP,3,1,12:00:00,2,3,2356,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,EP,4,1,12:00:00,3,1,2357,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,EP,5,1,12:00:00,2,2,2358,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,EP,6,1,12:00:00,2,2,2359,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,EP,7,1,12:00:00,2,1,2360,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,EP,8,1,12:00:00,1,2,2361,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,EP,9,1,12:00:00,3,2,2362,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,EP,10,1,12:00:00,3,2,2363,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,ST,1,1,12:00:00,3,3,2364,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,ST,2,1,12:00:00,4,3,2365,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,ST,3,1,12:00:00,4,2,2366,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,ST,4,1,12:00:00,4,3,2367,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,ST,5,1,12:00:00,3,2,2368,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,ST,6,1,12:00:00,4,2,2369,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,ST,7,1,12:00:00,3,3,2370,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,ST,8,1,12:00:00,4,3,2371,-32.021726,115.520259,Yes,Yes,20190117,
2019,Parker Point,No-take,Salmon Bay,ST,9,1,12:00:00,2,2,2372,-32.021726,115.520259,Yes,Yes,20190117,
