"project","campaignid","sample","family","genus","species","legal.sublegal","count","year","sanctuary","status","site","observer","replicate","sampling.location","depth","gps","way.point","d","time","complexity","algal.cover","latitude","longitude","successful.count","successful.length","date","location"
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","101","Palinuridae","Panulirus","cygnus","Legal","0","2014","Armstrong Bay","Fished","Ricey Beach","none","101","none","1","jane1","89","12/30/1899","11:07:00","4","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","101","Palinuridae","Panulirus","cygnus","Sublegal","4","2014","Armstrong Bay","Fished","Ricey Beach","none","101","none","1","jane1","89","12/30/1899","11:07:00","4","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","101","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Armstrong Bay","Fished","Ricey Beach","none","101","none","1","jane1","89","12/30/1899","11:07:00","4","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","102","Palinuridae","Panulirus","cygnus","Legal","0","2014","Armstrong Bay","Fished","Ricey Beach","none","102","none","1","jane1","90","12/30/1899","11:11:00","3","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","102","Palinuridae","Panulirus","cygnus","Sublegal","1","2014","Armstrong Bay","Fished","Ricey Beach","none","102","none","1","jane1","90","12/30/1899","11:11:00","3","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","102","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Armstrong Bay","Fished","Ricey Beach","none","102","none","1","jane1","90","12/30/1899","11:11:00","3","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","103","Palinuridae","Panulirus","cygnus","Legal","0","2014","Armstrong Bay","Fished","Ricey Beach","none","103","none","1","jane1","91","12/30/1899","11:14:00","3","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","103","Palinuridae","Panulirus","cygnus","Sublegal","2","2014","Armstrong Bay","Fished","Ricey Beach","none","103","none","1","jane1","91","12/30/1899","11:14:00","3","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","103","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Armstrong Bay","Fished","Ricey Beach","none","103","none","1","jane1","91","12/30/1899","11:14:00","3","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","105","Palinuridae","Panulirus","cygnus","Legal","0","2014","Armstrong Bay","Fished","Ricey Beach","none","105","none","1","jane1","93","12/30/1899","11:19:00","4","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","105","Palinuridae","Panulirus","cygnus","Sublegal","1","2014","Armstrong Bay","Fished","Ricey Beach","none","105","none","1","jane1","93","12/30/1899","11:19:00","4","2","-31.999667","115.48882","Yes","Yes","20140126",NA
